                 E          Z          X           Y     THETA  Label
119     448.637650   5.062879   6.419512  -20.877476  0.000455   -1.0
120    1177.529184  40.956715   7.261422   21.433487  0.000471   -1.0
121    1222.314527  15.272817  -4.907521   15.971848  0.000348   -1.0
122    1700.412249  17.894460   4.983067   18.820465  0.000406   -1.0
123     901.450295  11.892992   4.517896  -13.289745  0.000293   -1.0
124     651.875583  49.795248   5.961440   14.225232  0.000321   -1.0
125    1015.755534  30.037052  21.402470   16.753031  0.000566   -1.0
126     146.199149  41.599699  34.684315   21.264359  0.000847   -1.0
127    1019.425695   9.856209  41.536106   -9.459968  0.000888   -1.0
128     384.938675  28.277249  35.680164    1.237868  0.000744   -1.0
129    1035.521398  20.162839 -25.918766    5.272494  0.000551   -1.0
130     481.511679  39.732142  -9.247170   11.043674  0.000300   -1.0
131    1213.761234  26.461570  14.949339   15.917122  0.000455   -1.0
132     663.138085  38.977607   5.788712   31.327705  0.000664   -1.0
133    1018.201663  36.613783  54.479263   -9.291101  0.001151   -1.0
134    2699.595051  38.243727   5.799397   10.164291  0.000244   -1.0
135     213.577914  51.772136  25.293407   55.083172  0.001262   -1.0
136    1750.778212   9.199722  -5.952087   17.945223  0.000394   -1.0
137     528.458814  17.932492  11.969553   64.962578  0.001376   -1.0
138     418.602435  27.345568  35.860554   51.089294  0.001300   -1.0
139     631.997252   7.069366  10.474536   34.862114  0.000759   -1.0
140     351.688421  15.681191  21.268196    3.955114  0.000451   -1.0
141     116.286680  28.865488   8.869434   32.498341  0.000702   -1.0
142    1083.245849   3.590190  -0.457963   22.748394  0.000474   -1.0
143    2133.278378  49.388961  -4.319756  -10.274444  0.000232   -1.0
144    2786.554578  46.340732   9.110065   23.336163  0.000522   -1.0
145    1512.387038  25.732560  18.391756  -16.173847  0.000510   -1.0
146     372.664137  19.852738  30.170946    3.730557  0.000633   -1.0
147    2143.920203  50.542152   1.265254   24.578854  0.000513   -1.0
148     837.136719  25.136047  28.795292  -13.448464  0.000662   -1.0
149     800.450912  38.322684  16.045132   -2.317219  0.000338   -1.0
150    1327.157459  22.643205  18.103975   -7.536720  0.000409   -1.0
151     560.032284  38.239674  21.684368    1.748259  0.000453   -1.0
152     499.618634  35.722612  50.236340   20.016727  0.001126   -1.0
153     709.438385  20.491131   5.162784   41.946857  0.000881   -1.0
154     566.564516  53.561146  34.836536   17.004282  0.000807   -1.0
155     201.026510   9.262578   8.819695   72.681465  0.001526   -1.0
156     636.171241  32.034483  44.946545   30.020161  0.001126   -1.0
157     736.010662  10.734601   7.272048   14.515505  0.000338   -1.0
158    1381.935863  19.705695 -12.303774   -9.343274  0.000322   -1.0
159     378.269854  11.719149 -14.319855   -3.055365  0.000305   -1.0
160     463.239249  39.615128  21.522886  -19.042492  0.000599   -1.0
161     125.090107  19.861745  43.128666   22.890022  0.001017   -1.0
162     242.204080  55.394779  50.044064   34.068020  0.001261   -1.0
163     238.743412  28.895969  45.741711    6.243770  0.000962   -1.0
164     389.856867   5.660404  25.823385   37.742722  0.000953   -1.0
165      75.681685  19.069824  47.079124   -6.106577  0.000989   -1.0
